username,url_review
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187184-d198204-r778367197-Hotel_Barriere_Le_Normandy_Deauville-Deauville_City_Calvados_Basse_Normandie_Norm.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187457-d12285707-r714449454-Hotel_Akelarre-San_Sebastian_Donostia_Province_of_Guipuzcoa_Basque_Country.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187266-d1488438-r714426580-Relais_Chateaux_Flocons_de_Sel-Megeve_Haute_Savoie_Auvergne_Rhone_Alpes.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g196617-d669118-r714423667-Club_Med_Vittel_Ermitage_France-Vittel_Vosges_Grand_Est.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g666636-d232357-r703843667-Relais_Chateaux_Hostellerie_de_Levernois-Levernois_Cote_d_Or_Bourgogne_Franche_Co.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g45139-d78976-r703839467-Triple_Creek_Ranch-Darby_Montana.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g970102-d949960-r685731235-Blue_Margouillat_Seaview_Hotel-Saint_Leu_Arrondissement_of_Saint_Paul.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g298470-d585445-r632497791-Hotel_Boucan_Canot-Saint_Gilles_Les_Bains_Arrondissement_of_Saint_Paul.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g780696-d289781-r630439789-Domaine_De_La_Bretesche_Golf_Spa-Missillac_Loire_Atlantique_Pays_de_la_Loire.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187209-d290326-r372902030-Holiday_Village_Pont_Royal_en_Provence-Aix_en_Provence_Bouches_du_Rhone_Provence_.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187791-d1582498-r372902634-Hotel_Palazzo_Manfredi_Small_Luxury_Hotels_of_the_World-Rome_Lazio.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g60763-d234762-r372905566-The_Quin_Central_Park_by_Hilton_Club-New_York_City_New_York.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187138-d310534-r256729243-La_Maison_de_Rhodes-Troyes_Aube_Grand_Est.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g1947298-d597920-r256731577-Abbaye_de_la_Bussiere-La_Bussiere_sur_Ouche_Cote_d_Or_Bourgogne_Franche_Comte.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g56943-d1460646-r215557227-Best_Western_Plus_Bryce_Canyon_Grand_Hotel-Bryce_Utah.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g56933-d1563873-r215597110-Amangiri-Big_Water_Utah.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g61001-d99963-r215209630-Cliffrose_Springdale_Curio_Collection_by_Hilton-Springdale_Utah.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g31393-d226761-r215212641-Best_Western_Premier_Grand_Canyon_Squire_Inn-Tusayan_Arizona.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g31352-d115335-r215214937-L_Auberge_de_Sedona-Sedona_Arizona.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g57072-d1210740-r215218020-The_View_Hotel-Monument_Valley_Utah.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g60724-d267781-r215229936-Red_Cliffs_Lodge-Moab_Utah.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g60763-d93364-r196100997-Hotel_Deauville-New_York_City_New_York.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g189158-d195742-r185044134-Britania_Hotel_a_Lisbon_Heritage_Collection-Lisbon_Lisbon_District_Central_Portug.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g196646-d1801671-r179034909-Le_Relais_Saint_Michel-Mont_Saint_Michel_Manche_Basse_Normandie_Normandy.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g188590-d189389-r177946247-Sofitel_Legend_The_Grand_Amsterdam-Amsterdam_North_Holland_Province.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187119-d954092-r176066291-Ibis_Styles_Blois_Centre_Gare-Blois_Loir_et_Cher_Centre_Val_de_Loire.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g196540-d233602-r176066906-La_Cote_Saint_Jacques_Spa-Joigny_Yonne_Bourgogne_Franche_Comte.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g1060694-d219192-r176067555-Les_Hautes_Roches-Rochecorbon_Indre_et_Loire_Centre_Val_de_Loire.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g1209864-d1222678-r176070600-Hotel_Restaurant_Le_Marius-Les_Riceys_Aube_Grand_Est.html
EileanE,https://www.tripadvisor.fr/ShowUserReviews-g187138-d1940995-r135594989-Ibis_Styles_Troyes_Centre-Troyes_Aube_Grand_Est.html
Davidove,https://www.tripadvisor.fr/ShowUserReviews-g196703-d1485483-r777464575-Kube_Saint_Tropez-Gassin_Saint_Tropez_French_Riviera_Cote_d_Azur_Provence_Alpes_.html
